URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
137,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,,,,,,,,,,,,,
138,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,,,,,,,,,,,,,
139,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,,,,,,,,,,,,,
140,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,,,,,,,,,,,,,
141,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,,,,,,,,,,,,,
142,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,,,,,,,,,,,,,
143,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,,,,,,,,,,,,,
144,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,,,,,,,,,,,,,
145,https://insights.blackcoffer.com/blockchain-in-fintech/,,,,,,,,,,,,,
146,https://insights.blackcoffer.com/blockchain-for-payments/,,,,,,,,,,,,,
147,https://insights.blackcoffer.com/the-future-of-investing/,,,,,,,,,,,,,
148,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,,,,,,,,,,,,,
149,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,,,,,,,,,,,,,
150,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,,,,,,,,,,,,,
